"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.739964421115021E9,"2025-02-19 13:27:01.115 UTC+02:00"
"PAUSE",2.593270243333391E2,1.739964680439883E9,"2025-02-19 13:31:20.440 UTC+02:00"
