"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.178848280E2,6.505252419E1,2.546411721E1,1.312506198E1,1.574566845E0,2.744714509E2,2.158006013E0,3.000000000E0
2.188848217E2,6.505252529E1,2.546409075E1,1.249221376E1,1.575500958E0,2.750889400E2,2.150105714E0,3.000000000E0
2.198848137E2,6.505252814E1,2.546405995E1,1.288282147E1,1.588948189E0,2.775166624E2,2.153831502E0,3.000000000E0
2.208848075E2,6.505253101E1,2.546403157E1,1.282848015E1,1.573435732E0,2.785701233E2,2.151280371E0,3.000000000E0
2.218848003E2,6.505253424E1,2.546400330E1,1.265914603E1,1.576314135E0,2.797213647E2,2.143716356E0,3.000000000E0
2.228847934E2,6.505253729E1,2.546397408E1,1.221562438E1,1.535394961E0,2.811693015E2,2.136530506E0,3.000000000E0
2.238847867E2,6.505254059E1,2.546394319E1,1.244136709E1,1.573457938E0,2.807258962E2,2.129703946E0,3.000000000E0
2.248847799E2,6.505254381E1,2.546391395E1,1.257963325E1,1.565923549E0,2.809401539E2,2.138318761E0,3.000000000E0
2.258847725E2,6.505254765E1,2.546388335E1,1.274127019E1,1.582536264E0,2.828894861E2,2.131402817E0,3.000000000E0
2.268847654E2,6.505255111E1,2.546385215E1,1.284938309E1,1.581483127E0,2.834930023E2,2.124832687E0,3.000000000E0
2.278847592E2,6.505255471E1,2.546382170E1,1.263443598E1,1.580438547E0,2.825308709E2,2.118591036E0,3.000000000E0
2.288847518E2,6.505255595E1,2.546379031E1,1.255375485E1,1.578728219E0,2.790239188E2,2.120534772E0,3.000000000E0
2.298847452E2,6.505255761E1,2.546376078E1,1.285528746E1,1.570101569E0,2.777175892E2,2.114508039E0,3.000000000E0
2.308847381E2,6.505256188E1,2.546373043E1,1.225258787E1,1.604978971E0,2.830941880E2,2.112863423E0,3.000000000E0
2.318847313E2,6.505256395E1,2.546370540E1,1.208362494E1,1.530094265E0,2.823005860E2,2.107220241E0,3.000000000E0
2.328847246E2,6.505256725E1,2.546367727E1,1.189844995E1,1.572034301E0,2.812407114E2,2.101859206E0,3.000000000E0
2.338847172E2,6.505257166E1,2.546365152E1,1.186732615E1,1.584460272E0,2.828570352E2,2.110136084E0,3.000000000E0
2.348847103E2,6.505257357E1,2.546362081E1,1.182978434E1,1.576066524E0,2.814027913E2,2.104629296E0,3.000000000E0
2.358847038E2,6.505257464E1,2.546358946E1,1.225963501E1,1.552169994E0,2.796652819E2,2.099397829E0,3.000000000E0
2.368846966E2,6.505257694E1,2.546356005E1,1.220058064E1,1.557712875E0,2.810316854E2,2.100656990E0,3.000000000E0
2.378846900E2,6.505258063E1,2.546352632E1,1.278747178E1,1.559703869E0,2.843767137E2,2.095624152E0,3.000000000E0
2.388846825E2,6.505258218E1,2.546349709E1,1.219515160E1,1.565842452E0,2.789196355E2,2.090842936E0,3.000000000E0
2.398846756E2,6.505257971E1,2.546346965E1,1.109251593E1,1.451881594E0,2.714201122E2,2.086300774E0,3.000000000E0
2.408846688E2,6.505258105E1,2.546343973E1,1.067974070E1,1.491135491E0,2.728693549E2,2.088164638E0,3.000000000E0
2.418846624E2,6.505258494E1,2.546341003E1,1.093313618E1,1.555984012E0,2.776811486E2,2.083756396E0,3.000000000E0
2.428846555E2,6.505258725E1,2.546337628E1,1.135482844E1,1.583187851E0,2.785073230E2,2.079568604E0,3.000000000E0
2.438846481E2,6.505258855E1,2.546334281E1,1.180558368E1,1.581357631E0,2.777804708E2,2.075590172E0,3.000000000E0
2.448846411E2,6.505258982E1,2.546331074E1,1.191858306E1,1.579444021E0,2.761801251E2,2.071810669E0,3.000000000E0
2.458846339E2,6.505259126E1,2.546328052E1,1.136391194E1,1.562485207E0,2.759224888E2,2.070262218E0,3.000000000E0
2.468846275E2,6.505259598E1,2.546324960E1,1.165832014E1,1.575458884E0,2.812322819E2,2.066749103E0,3.000000000E0
2.478846210E2,6.505260053E1,2.546321828E1,1.168384512E1,1.578840640E0,2.846274215E2,2.095508545E0,3.000000000E0
2.488846138E2,6.505260251E1,2.546318907E1,1.079624774E1,1.532417052E0,2.819624235E2,2.090733094E0,3.000000000E0
2.498846067E2,6.505260493E1,2.546316005E1,1.060636588E1,1.506191813E0,2.825667749E2,2.086196418E0,3.000000000E0
2.508846003E2,6.505260531E1,2.546312660E1,1.137052334E1,1.582592757E0,2.772143558E2,2.101483063E0,3.000000000E0
2.518845928E2,6.505260539E1,2.546309588E1,1.184350911E1,1.554037785E0,2.750795347E2,2.120261604E0,3.000000000E0
2.528845860E2,6.505260719E1,2.546306187E1,1.210232328E1,1.577246755E0,2.777428914E2,2.114248520E0,3.000000000E0
2.538845791E2,6.505261054E1,2.546303115E1,1.243387812E1,1.575669523E0,2.811181587E2,2.108536100E0,3.000000000E0
2.548845721E2,6.505261187E1,2.546300358E1,1.237716571E1,1.564008790E0,2.774412365E2,2.103109288E0,3.000000000E0
2.558845655E2,6.505261407E1,2.546297798E1,1.192148991E1,1.509669608E0,2.775786167E2,2.098345539E0,3.000000000E0
2.568845582E2,6.505261678E1,2.546295620E1,1.209760788E1,1.425535255E0,2.771414694E2,2.093428255E0,3.000000000E0
2.578845505E2,6.505262172E1,2.546294723E1,1.228373553E1,1.432028230E0,2.818894416E2,2.127518455E0,3.000000000E0
2.588845443E2,6.505262171E1,2.546295214E1,1.195006897E1,7.717034170E-1,2.874640630E2,2.121142544E0,3.000000000E0
