"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.366377500E-1,-5.562721933E-1,-4.126815704E-1,1.649160397E-1
7.466717500E-1,-7.575402631E-1,-4.940496692E-1,-9.656150401E-2
7.567057500E-1,-8.158232622E-1,-5.740185294E-1,-4.125924003E-1
7.667397500E-1,-8.014740488E-1,-6.312960997E-1,-6.846066266E-1
7.767737500E-1,-7.837980621E-1,-5.934698769E-1,-9.293225420E-1
7.868077500E-1,-7.567742778E-1,-5.388101050E-1,-1.110825378E0
7.968417500E-1,-6.253785713E-1,-5.198224416E-1,-1.221990888E0
8.068767500E-1,-4.463901473E-1,-5.011455578E-1,-1.184528362E0
8.169107500E-1,-3.258754878E-1,-4.806449273E-1,-9.570354205E-1
8.269447500E-1,-2.265305630E-1,-4.752154952E-1,-6.488883251E-1
8.369787500E-1,-8.015180491E-2,-4.876273799E-1,-3.542354339E-1
8.470127500E-1,4.484503772E-2,-5.632073200E-1,-5.678406537E-2
8.570467500E-1,1.463427246E-1,-6.674696070E-1,1.775776005E-1
8.670807500E-1,1.769453337E-1,-7.447893861E-1,2.811282814E-1
8.771147500E-1,8.708762594E-2,-8.131161475E-1,3.257863909E-1
8.871487500E-1,-4.080501370E-2,-8.672815374E-1,2.254604495E-1
8.971827500E-1,-1.618351418E-1,-9.176409745E-1,-9.801336765E-2
9.072167500E-1,-2.597163989E-1,-9.899955904E-1,-5.144590831E-1
9.172507500E-1,-2.551200123E-1,-1.016981368E0,-7.973970777E-1
9.272847500E-1,-2.406861239E-1,-1.009185567E0,-8.258671707E-1
9.373187500E-1,-1.456795407E-1,-9.654828930E-1,-6.316624278E-1
9.473537500E-1,2.751962811E-2,-9.467577696E-1,-2.273058307E-1
9.573877500E-1,2.086817180E-1,-9.776459786E-1,1.241194314E-1
9.674217500E-1,2.783810036E-1,-9.762508330E-1,3.419995505E-1
9.774557500E-1,2.328703335E-1,-9.290249187E-1,4.563769358E-1
9.874897500E-1,1.494422971E-1,-8.688687640E-1,3.969060749E-1
9.975237500E-1,1.325355116E-1,-7.672798240E-1,2.556408530E-1
1.007557750E0,1.337895566E-1,-6.098248315E-1,1.696593010E-1
1.017591750E0,1.322390943E-1,-3.728538457E-1,7.672190130E-2
1.027625750E0,8.629945781E-2,-1.451407564E-1,1.358249724E-2
1.037659750E0,-4.749437459E-2,1.086474064E-1,-1.544717431E-2
1.047693750E0,-1.918283614E-1,3.002074537E-1,-1.014491916E-2
1.057727750E0,-2.402880747E-1,4.699375060E-1,-2.429459631E-2
1.067761750E0,-2.651688910E-1,5.888377127E-1,-5.161805034E-2
1.077795750E0,-2.900372088E-1,6.577179131E-1,3.353144288E-2
1.087830750E0,-2.967316494E-1,6.608841804E-1,1.758362997E-1
1.097864750E0,-2.588815261E-1,5.761802450E-1,2.761476231E-1
1.107898750E0,-1.971481216E-1,4.213831043E-1,3.758596069E-1
1.117932750E0,-1.183117941E-1,1.688076541E-1,4.976822519E-1
1.127966750E0,-9.342458244E-2,-1.155933139E-1,5.854764408E-1
1.138000750E0,4.905324228E-2,-3.391127801E-1,5.553007150E-1
1.148035000E0,2.540703640E-1,-4.122076535E-1,6.609183866E-1
1.158069000E0,3.631352616E-1,-5.445646423E-1,8.584531188E-1
1.168103000E0,5.402757827E-1,-6.032835513E-1,8.113111120E-1
1.178137000E0,7.452478809E-1,-5.386270872E-1,7.173644829E-1
1.188171000E0,8.966615302E-1,-4.747684756E-1,6.009031498E-1
1.198205000E0,9.795720515E-1,-3.757107952E-1,3.772921747E-1
1.208239000E0,9.971672735E-1,-2.120095146E-1,1.874506241E-1
1.218273000E0,9.266706104E-1,-8.543308318E-2,8.509452939E-2
1.228308000E0,8.023627525E-1,-4.701453745E-3,-9.376010299E-3
1.238342000E0,8.062121207E-1,1.265670758E-1,-5.462878168E-2
1.248376000E0,8.316164455E-1,9.717136860E-2,-7.884385586E-2
1.258410000E0,8.200309186E-1,2.563711703E-2,-1.475813842E-1
1.268444000E0,7.487147681E-1,-3.535518944E-3,-2.703378296E-1
1.278478000E0,6.701469009E-1,-7.114658117E-2,-4.003611946E-1
1.288512000E0,5.827287611E-1,-1.154111731E-1,-5.019729388E-1
1.298546000E0,4.970947529E-1,-1.277151766E-1,-5.855699962E-1
1.308580000E0,4.028554706E-1,-1.719376686E-1,-5.458919603E-1
1.318614000E0,3.792845038E-1,-2.053884199E-1,-5.383554840E-1
1.328648000E0,3.567666205E-1,-2.816609627E-1,-4.901025063E-1
1.338682000E0,3.935196599E-1,-3.778070220E-1,-4.437726778E-1
1.348716000E0,4.429900280E-1,-4.737589538E-1,-4.442106342E-1
1.358750000E0,4.918132554E-1,-5.198668805E-1,-4.823227859E-1
1.368784000E0,5.601321231E-1,-5.086478278E-1,-3.841562212E-1
1.378819000E0,6.225109506E-1,-4.002439579E-1,-1.731676304E-1
1.388853000E0,6.666992363E-1,-3.467141604E-1,2.224807084E-2
1.398887000E0,6.475177377E-1,-3.177479312E-1,1.810859299E-1
1.408921000E0,6.558605450E-1,-3.525569907E-1,2.272122753E-1
1.418955000E0,6.420378003E-1,-4.288172543E-1,2.292734188E-1
1.428989000E0,6.379750818E-1,-4.972498503E-1,2.643222141E-1
1.439023000E0,5.664759866E-1,-5.148280424E-1,2.483710098E-1
1.449057000E0,4.701576171E-1,-4.728304160E-1,1.986597365E-1
1.459091000E0,4.956170154E-1,-4.246850270E-1,1.195539254E-1
1.469125000E0,5.777141524E-1,-3.537007061E-1,-2.325262249E-2
1.479159000E0,6.155249166E-1,-2.668359321E-1,-1.465288854E-1
1.489193000E0,5.973194645E-1,-1.212820700E-1,-2.402199912E-1
1.499227000E0,5.599893048E-1,3.272101879E-3,-3.590763438E-1
1.509261000E0,4.166782884E-1,9.845307827E-2,-5.367486691E-1
1.519295000E0,2.411769977E-1,1.679086447E-1,-7.280572861E-1
1.529329000E0,6.576688696E-2,1.276122656E-1,-8.711784142E-1
1.539363000E0,-1.087423323E-1,5.075149298E-2,-8.742534649E-1
1.549398000E0,-2.048371919E-1,2.368122339E-5,-7.658723992E-1
1.559432000E0,-2.560166280E-1,-4.955222905E-2,-5.432858562E-1
1.569466000E0,-2.753986678E-1,-1.123682821E-1,-2.737958729E-1
1.579500000E0,-1.956060647E-1,-1.810107931E-1,-4.481013715E-2
1.589534000E0,-1.812584775E-1,-2.640731227E-1,1.318523741E-1
1.599568000E0,-1.878111232E-1,-2.942701909E-1,1.868951386E-1
1.609602000E0,-2.079008406E-1,-3.295835727E-1,1.729214627E-1
1.619636000E0,-2.114484194E-1,-3.455078799E-1,2.019265759E-1
1.629670000E0,-1.838242358E-1,-3.632594419E-1,2.001776737E-1
1.639704000E0,-1.958006125E-1,-3.502470481E-1,1.837119144E-1
1.649738000E0,-1.653451888E-1,-3.354986161E-1,2.463829565E-1
1.659772000E0,-1.163983202E-1,-3.362341958E-1,2.776567894E-1
1.669806000E0,-1.099164715E-1,-3.487834901E-1,2.651858479E-1
1.679840000E0,-1.351995213E-1,-3.516904333E-1,2.470647418E-1
1.689874000E0,-1.647372976E-1,-3.220903659E-1,3.148421574E-1
1.699908000E0,-2.285037242E-1,-2.771074435E-1,4.024270159E-1
1.709942000E0,-3.072458202E-1,-2.067017046E-1,4.685987860E-1
1.719977000E0,-3.599692502E-1,-1.267881006E-1,4.742290699E-1
1.730011000E0,-3.660968032E-1,-5.499247849E-2,4.097828132E-1
1.740045000E0,-3.073955455E-1,2.135607809E-2,3.758806568E-1
1.750079000E0,-2.042843560E-1,1.258763735E-1,3.702474493E-1
1.760113000E0,-8.565438202E-2,1.797439939E-1,3.684897763E-1
1.770147000E0,3.304646202E-2,1.491225640E-1,3.820424527E-1
1.780181000E0,9.714516576E-2,7.357112914E-2,4.298849559E-1
1.790215000E0,5.829822013E-2,-2.177663907E-2,5.095871830E-1
1.800249000E0,6.113200011E-3,-1.350981635E-1,4.878408033E-1
1.810283000E0,-2.950390815E-2,-2.189761797E-1,4.050144088E-1
1.820317000E0,-6.263954021E-2,-2.476643738E-1,2.441592604E-1
1.830351000E0,-9.406265985E-2,-2.573859546E-1,1.645581901E-2
1.840385000E0,-1.087024799E-1,-2.673335302E-1,-2.256516534E-1
1.850419000E0,-1.407643530E-1,-2.710146448E-1,-4.818029684E-1
1.860453000E0,-1.566930272E-1,-2.304086557E-1,-6.076753950E-1
1.870487000E0,-1.206695741E-1,-1.668657938E-1,-6.580824870E-1
1.880521000E0,-1.250590424E-1,-1.486827073E-1,-6.707118881E-1
1.890555000E0,-1.145392071E-1,-1.305466908E-1,-5.959768707E-1
1.900590000E0,-6.827658501E-2,-1.345567113E-1,-4.512296319E-1
1.910624000E0,-1.902879490E-2,-1.444599943E-1,-2.588462967E-1
1.920658000E0,2.916757448E-2,-9.549073264E-2,9.066692591E-3
1.930692000E0,4.083044909E-2,-8.132307529E-2,2.266065037E-1
1.940726000E0,8.241285011E-3,-6.637159869E-2,3.074173629E-1
1.950760000E0,-3.737383101E-2,-4.147547007E-2,3.703737491E-1
1.960794000E0,-6.778377436E-2,-4.369521931E-2,3.869511902E-1
1.970828000E0,-5.398547832E-2,-2.402547821E-2,3.416393620E-1
1.980862000E0,-1.637039484E-2,4.349904522E-2,2.790905267E-1
1.990896000E0,3.993856598E-2,9.724343553E-2,1.203637648E-1
2.000930000E0,2.702743873E-2,1.406134035E-1,-1.378539562E-2
2.010964000E0,1.462821694E-2,1.920849811E-1,-7.094836056E-2
2.020998000E0,-1.285015175E-2,1.758132032E-1,-1.246795946E-1
2.031032000E0,-2.823748346E-2,1.060208371E-1,-2.101799208E-1
2.041066000E0,-1.300732856E-1,4.433388144E-2,-2.060740060E-1
2.051100000E0,-8.424818147E-2,2.162037224E-2,-2.391598910E-1
2.061134000E0,4.718571469E-2,7.016527221E-2,-1.761339229E-1
2.071168000E0,7.179518357E-2,7.451545447E-2,1.130839813E-1
2.081202000E0,1.294803049E-1,2.729260996E-2,2.954101056E-1
2.091236000E0,2.120509019E-1,3.026694238E-2,3.485653889E-1
2.101271000E0,2.648116992E-1,3.984088093E-2,3.957313693E-1
2.111305000E0,2.666076166E-1,5.211579457E-2,3.333246213E-1
2.121339000E0,2.749545353E-1,1.160128516E-1,2.372232932E-1
2.131373000E0,2.809243963E-1,9.702094898E-2,3.194333911E-3
2.141407000E0,2.635082452E-1,5.432253376E-2,-3.061988032E-1
2.151441000E0,1.848031876E-1,-5.820318460E-3,-6.143213403E-1
2.161475000E0,6.780018311E-2,-6.589402735E-2,-8.528666890E-1
2.171509000E0,-7.310309608E-2,-1.377092376E-1,-9.263123953E-1
2.181543000E0,-1.613993415E-1,-1.892047888E-1,-8.604382485E-1
2.191577000E0,-2.416290605E-1,-2.295472147E-1,-6.953479618E-1
2.201611000E0,-2.604962347E-1,-2.941435987E-1,-4.635158014E-1
2.211645000E0,-2.905638236E-1,-3.168249482E-1,-2.326922858E-1
2.221679000E0,-3.029944559E-1,-3.157150005E-1,-3.263623416E-2
2.231713000E0,-2.740841772E-1,-3.097316909E-1,9.108441710E-2
2.241747000E0,-2.321065044E-1,-2.782612453E-1,1.607048750E-1
2.251781000E0,-1.846717714E-1,-2.117705096E-1,2.111873960E-1
2.261815000E0,-1.744480245E-1,-1.400218114E-1,2.106950605E-1
2.271849000E0,-1.962654113E-1,-3.761236086E-2,2.174018168E-1
2.281883000E0,-1.657781020E-1,6.907242760E-2,3.000767684E-1
2.291917000E0,-1.549298725E-1,1.213357182E-1,4.252428514E-1
2.301951000E0,-1.460776265E-1,1.107148357E-1,5.657777560E-1
2.311986000E0,-1.266725267E-1,9.047075182E-2,6.943340546E-1
2.322020000E0,-8.543246191E-2,7.441093549E-2,7.570518744E-1
2.332054000E0,-4.650798585E-2,9.993987903E-2,6.751534331E-1
2.342088000E0,7.755454481E-3,1.782560237E-1,5.190807223E-1
2.352122000E0,6.031903613E-2,2.961857387E-1,3.348156613E-1
2.362156000E0,4.814237399E-2,4.030767877E-1,1.253719050E-1
2.372190000E0,-2.895285375E-4,4.658638971E-1,-5.072459579E-2
2.382224000E0,-2.095371656E-2,4.615613696E-1,-1.907981551E-1
2.392258000E0,-8.119805451E-2,2.817267439E-1,-2.645672125E-1
2.402292000E0,-1.297520359E-1,7.233941317E-2,-3.101228696E-1
2.412326000E0,-1.571295402E-1,-6.407510474E-2,-2.854938126E-1
2.422360000E0,-2.038522833E-1,-2.023345654E-1,-1.565054047E-1
2.432394000E0,-2.204888543E-1,-3.619065423E-1,4.526037276E-2
2.442428000E0,-1.759997476E-1,-4.470140818E-1,2.481406295E-1
2.452462000E0,-9.962723572E-2,-4.767869344E-1,3.639038050E-1
2.462496000E0,-3.343359338E-2,-4.571452600E-1,3.692154157E-1
2.472530000E0,1.691378390E-2,-3.820298812E-1,2.624136829E-1
2.482564000E0,2.349758428E-3,-2.419294247E-1,8.545705676E-2
2.492598000E0,-1.692092847E-2,-9.768899336E-2,-1.186645639E-1
2.502632000E0,-3.149270151E-2,7.519373149E-3,-3.539945287E-1
2.512666000E0,-5.404808007E-2,1.010138664E-1,-4.937704647E-1
2.522700000E0,-7.114727553E-2,1.830312985E-1,-5.268288678E-1
2.532734000E0,-8.763426751E-2,2.230347320E-1,-4.470547199E-1
2.542768000E0,-6.533658670E-2,2.607894726E-1,-2.830993778E-1
2.552802000E0,-1.295571227E-2,2.419434580E-1,-4.828923047E-2
2.562837000E0,2.969650995E-2,2.200910975E-1,2.411368346E-1
2.572871000E0,4.339375880E-2,1.589096336E-1,4.608716905E-1
2.582905000E0,1.045100262E-2,9.289106056E-2,5.327211070E-1
2.592939000E0,-2.963789161E-2,3.485963792E-2,4.563588095E-1
2.602973000E0,-6.813605083E-2,-1.048829690E-2,2.633626860E-1
2.613007000E0,-7.374681970E-2,-2.897251502E-2,3.212050974E-2
2.623041000E0,1.011493390E-2,-1.411400914E-2,-1.000037599E-1
2.633075000E0,6.917806121E-2,3.749366239E-2,-1.058053672E-1
2.643109000E0,4.569058165E-2,7.107363716E-2,-3.865594268E-2
2.653143000E0,3.447847255E-2,6.494692460E-2,9.186852872E-2
2.663177000E0,1.530426471E-2,1.103369594E-2,1.976943612E-1
2.673211000E0,2.268657546E-2,-6.102344289E-2,2.378770119E-1
2.683245000E0,-2.902978119E-2,-8.599514678E-2,2.271970725E-1
2.693279000E0,-5.410300735E-2,-9.923353538E-2,1.610007441E-1
2.703313000E0,-7.019326575E-3,-7.933706850E-2,4.583632350E-2
2.713347000E0,4.050640371E-3,-1.940573931E-2,-9.124930859E-2
2.723381000E0,-1.244075529E-2,1.539396465E-2,-2.190320206E-1
2.733415000E0,-8.304032944E-2,4.314704284E-2,-3.136002088E-1
2.743449000E0,-1.629617906E-1,6.111977577E-2,-3.419264603E-1
2.753483000E0,-2.168138428E-1,1.089869834E-1,-3.259220463E-1
2.763517000E0,-2.119641621E-1,8.950142965E-2,-2.575178093E-1
2.773551000E0,-1.563743905E-1,5.746643543E-2,-1.738616949E-1
2.783585000E0,-3.689764839E-2,2.727141380E-2,-5.603152871E-2
2.793619000E0,1.033925320E-1,-2.122100741E-3,3.452313066E-2
2.803653000E0,1.907770685E-1,2.806064174E-2,2.069809091E-1
2.813687000E0,1.010399596E-1,8.182023481E-2,4.395872408E-1
2.823721000E0,3.009306081E-3,1.120474161E-1,5.566566843E-1
2.833755000E0,-5.437685804E-2,8.437035173E-2,5.554024565E-1
2.843789000E0,-9.699014146E-2,5.010712981E-2,4.218467885E-1
