"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.327477083E-1,-1.045474119E-1,4.006804526E-2,2.737841785E-2
7.427827083E-1,-8.220355634E-2,3.235264421E-2,-6.077362061E-2
7.528167083E-1,-5.265346432E-2,4.990598559E-4,-1.956431580E-1
7.628517083E-1,-3.493939759E-2,-3.121156007E-2,-2.915801793E-1
7.728867083E-1,1.358562184E-2,-7.609332561E-2,-3.601686037E-1
7.829217083E-1,4.575261695E-2,-5.422473907E-2,-2.735286552E-1
7.929567083E-1,8.870167673E-2,-1.370730606E-1,-9.061663985E-2
8.029907083E-1,1.322586277E-1,-2.363073269E-1,1.229727924E-1
8.130257083E-1,1.297910113E-1,-2.354662049E-1,1.883943647E-1
8.230607083E-1,6.141918976E-2,-2.256729957E-1,1.437321621E-1
8.330957083E-1,5.307291068E-2,-1.279014105E-1,7.274520993E-2
8.431307083E-1,7.077652551E-3,-6.946609139E-2,-1.461862385E-2
8.531657083E-1,-1.172110923E-3,-1.701598227E-2,-4.983874261E-2
8.631997083E-1,4.348599862E-2,-3.666613519E-2,-6.672257781E-3
8.732347083E-1,9.343099611E-2,-4.655874699E-2,-4.666078091E-3
8.832697083E-1,9.614220383E-2,6.879249215E-3,7.898418903E-3
8.933047083E-1,4.585821401E-2,5.679839104E-2,4.014230490E-2
9.033397083E-1,-2.139110656E-2,3.093440205E-2,7.474086463E-2
9.133747083E-1,-3.843036806E-2,2.938430518E-2,1.194679713E-1
9.234087083E-1,-4.567101175E-2,4.069720566E-2,1.884733021E-1
9.334437083E-1,-8.131063169E-2,5.532343090E-3,1.718613625E-1
9.434787083E-1,-9.356010994E-2,-4.316385359E-2,2.020382577E-1
9.535137083E-1,-8.785761287E-2,-2.321520030E-2,1.904689568E-1
9.635487083E-1,-7.178825827E-2,-1.272412598E-2,1.087833542E-1
9.735827083E-1,-3.738070149E-2,-4.391258955E-4,-4.170117259E-2
9.836177083E-1,-2.683689259E-2,-1.456687599E-2,-1.214080775E-1
9.936527083E-1,-8.212865716E-2,-2.479160964E-2,-1.448688608E-1
1.003687708E0,-5.934286175E-2,-2.214574456E-2,-2.068487620E-1
1.013722708E0,-1.714845825E-2,-1.537116051E-2,-2.227379858E-1
1.023757708E0,3.699953612E-2,-1.814274073E-2,-2.022025645E-1
1.033791708E0,8.207064182E-2,-6.269063026E-2,-1.072075295E-1
1.043826708E0,8.507040963E-2,-1.056805292E-1,7.411053479E-2
1.053861708E0,8.457133150E-2,-7.839449733E-2,1.343467963E-1
1.063896708E0,7.641344240E-2,1.946274966E-2,7.750893652E-2
1.073931708E0,7.402675515E-2,3.706082225E-2,-2.748951495E-2
1.083965708E0,1.374815617E-2,2.961030006E-3,-4.645028114E-2
1.094000708E0,5.660121197E-2,1.332872808E-2,4.130940914E-2
1.104035708E0,9.903639285E-2,-6.754118800E-3,-2.474307775E-2
1.114070708E0,1.977090889E-1,5.953927338E-3,-8.528807223E-2
1.124105708E0,1.718462693E-1,1.051797152E-2,-1.445928723E-1
1.134139708E0,1.398802905E-1,3.458335698E-3,-1.275102317E-1
1.144174708E0,1.084778554E-1,1.413769037E-2,-3.975404978E-2
1.154209708E0,8.027254991E-2,3.376006901E-2,2.700361133E-2
1.164244708E0,5.452762485E-2,7.019933224E-2,9.279297352E-2
1.174279708E0,4.150901847E-2,7.101151049E-2,4.299048364E-2
1.184314708E0,1.152498996E-2,3.762507856E-2,5.592101634E-2
1.194348708E0,-2.356530234E-2,7.801939845E-2,8.823682308E-2
1.204383708E0,-4.959655825E-2,8.383036137E-2,3.136738837E-2
1.214418708E0,-3.246770645E-2,1.145881775E-1,2.340523481E-2
1.224453708E0,-6.556738727E-4,7.506801635E-2,2.879987597E-2
1.234488708E0,4.699299412E-2,-5.996319652E-4,5.480712175E-2
1.244522708E0,1.082492293E-1,-3.065081209E-2,6.748271585E-2
1.254557708E0,1.074936228E-1,-2.714628339E-2,1.200924540E-1
1.264592708E0,1.069173432E-1,-2.767633349E-2,1.242708743E-1
1.274627708E0,1.049843451E-1,-1.995420814E-2,4.444059312E-2
1.284662708E0,1.053069286E-1,-2.462087095E-2,-5.796695709E-2
1.294696708E0,4.513131374E-2,-6.371184647E-2,-1.149726319E-1
1.304731708E0,2.604362642E-2,-4.793313503E-2,-1.175600249E-1
1.314766708E0,3.842309559E-2,-3.165916443E-2,-7.281420708E-2
1.324801708E0,-1.138233617E-2,-6.551863611E-2,-1.193603826E-1
1.334836708E0,1.799380118E-2,-7.548726171E-2,-4.349375349E-1
1.344871708E0,-7.473119846E-2,-2.175807416E-2,-1.015864257E0
1.354905708E0,-1.537508362E-1,-2.848354161E-2,-4.391101080E-1
1.364940708E0,-1.732325893E-1,7.917597771E-2,-2.848897952E-1
1.374975708E0,-2.143524025E-1,8.510856271E-2,-2.391493660E-1
1.385010708E0,-1.075027957E-1,-2.332863629E-2,1.749311507E-2
1.395045708E0,-1.154907318E-2,-1.079015940E-1,4.141454208E-1
1.405079708E0,1.311335137E-1,-1.905277213E-1,7.733047950E-1
1.415114708E0,3.378200338E-1,-1.879906145E-1,9.222667068E-1
1.425149708E0,3.268338099E-1,-8.056293726E-2,4.971998566E-1
1.435184708E0,1.002275620E-1,8.034162015E-2,-2.280998826E-3
1.445219708E0,-7.250865351E-2,2.158131284E-1,-2.479073256E-1
1.455253708E0,-1.656032703E-1,1.798612306E-1,-1.970517522E-1
1.465288708E0,-1.312157767E-1,9.734006077E-2,-4.602051079E-2
1.475323708E0,-8.215507926E-2,7.646900922E-2,-1.075186014E-2
1.485358708E0,-6.726340871E-2,3.176207542E-2,-5.341431499E-2
1.495393708E0,-7.650628522E-2,1.178564787E-2,-4.714025259E-2
1.505427708E0,-5.356466152E-2,-2.785788953E-2,-1.005077899E-2
1.515462708E0,8.543021439E-2,-9.304908156E-2,-3.089434862E-2
1.525497708E0,1.183288058E-1,-1.737137604E-1,-1.472901928E-1
1.535532708E0,1.235095668E-1,-1.411134866E-1,-2.147319782E-1
1.545567708E0,7.008026831E-2,-9.362795591E-2,-2.271865475E-1
1.555601708E0,8.037891442E-2,-8.406308055E-2,-1.242539173E-1
1.565636708E0,7.463725928E-2,-6.844048977E-2,-3.466112494E-2
1.575671708E0,7.397634119E-2,-4.277647555E-2,-3.916289628E-2
1.585706708E0,7.771486815E-2,-3.702866256E-2,-8.043956101E-2
1.595741708E0,7.581560114E-2,-2.496410251E-2,-9.292979836E-2
1.605775708E0,5.440585658E-2,-3.398811042E-2,-6.586829960E-2
1.615810708E0,4.154956525E-2,-3.441641897E-2,-9.063184261E-4
1.625845708E0,6.561973812E-2,-2.227467567E-2,5.076728046E-2
1.635880708E0,-2.085603151E-2,-1.923733950E-3,5.098070383E-2
1.645915708E0,-9.619448159E-2,6.888750941E-2,1.024730390E-1
1.655950708E0,-8.373176269E-2,7.363895684E-2,1.271219766E-1
1.665984708E0,-1.071688100E-1,4.600326151E-2,9.169135809E-2
1.676019708E0,-1.353169955E-2,3.735347539E-2,3.388402998E-2
1.686054708E0,7.829988208E-3,2.844699651E-2,-1.487180829E-2
1.696089708E0,-1.157145705E-2,2.198962390E-2,-1.355326116E-2
1.706123708E0,5.086657349E-2,-4.592695534E-3,-5.574735403E-3
1.716158708E0,8.579283312E-2,-3.953857988E-2,-4.453765690E-2
1.726193708E0,1.084383502E-1,-5.291671693E-2,4.281916022E-3
1.736228708E0,1.185775317E-1,-3.593026310E-2,1.061895293E-1
1.746263708E0,9.035386233E-2,2.167153537E-2,8.319126070E-2
1.756298708E0,1.060319468E-2,2.079620719E-2,2.027405083E-2
1.766332708E0,4.335070867E-3,-1.281329602E-2,-1.763520241E-2
1.776367708E0,-1.418644153E-2,-2.424314082E-2,-6.319846094E-2
1.786402708E0,-3.774827208E-2,-3.466258675E-2,-8.173062623E-2
1.796437708E0,6.392833963E-4,-6.444947273E-2,-1.042114162E-1
1.806471708E0,5.421668088E-2,-9.004039675E-2,-1.143300229E-1
1.816506708E0,9.159243051E-2,-1.129465717E-1,-2.452965438E-2
1.826541708E0,5.638813578E-2,-7.362930894E-2,5.505504370E-2
1.836576708E0,2.375509931E-2,-4.160147756E-2,1.118326771E-1
1.846611708E0,-3.435105806E-2,-2.547281027E-2,1.068771619E-1
1.856645708E0,-8.286330499E-2,-2.046233118E-3,6.555021107E-2
1.866680708E0,-8.039919695E-2,-3.132061064E-3,2.499626219E-2
1.876715708E0,-3.734563647E-2,-1.329422951E-2,-1.390701771E-2
1.886750708E0,1.892425764E-2,-1.359857708E-2,1.494548321E-2
1.896785708E0,3.652541829E-2,-3.024062991E-2,-8.864963651E-3
1.906819708E0,-2.183178563E-2,-4.933091193E-2,6.992626727E-2
1.916854708E0,-4.768185094E-3,-1.737880200E-2,8.515007794E-2
1.926889708E0,7.145447362E-2,-1.838773906E-2,8.330995917E-2
1.936924708E0,1.700070276E-1,-1.048063704E-1,4.761855483E-2
1.946959708E0,1.922252411E-1,-2.061818871E-1,7.244758666E-2
1.956993708E0,1.599487569E-1,-1.740841815E-1,1.153187871E-1
1.967028708E0,9.829432636E-2,-1.003209713E-1,1.109094018E-1
1.977063708E0,9.123947795E-2,-6.925179094E-2,-3.617321491E-2
1.987098708E0,4.707571395E-2,-6.971196681E-2,-1.506470793E-1
1.997133708E0,4.478280142E-2,-8.899959236E-2,-8.568626761E-2
2.007167708E0,8.278301541E-2,-8.964190900E-2,-1.407015502E-2
2.017202708E0,1.059534114E-1,-1.177626309E-1,7.739433110E-2
2.027237708E0,1.047080641E-1,-4.827695131E-2,5.390255749E-2
2.037272708E0,7.092880893E-2,-2.349762082E-2,4.942885280E-2
2.047307708E0,6.853382595E-2,-8.140785992E-3,8.147217929E-2
2.057341708E0,7.601022206E-2,5.187942088E-3,3.461785555E-2
2.067376708E0,4.334833324E-2,-8.917003870E-4,-3.943069875E-2
